date,decimal_year,Julian_Day,Year,GHIsat,GHIg
2010-08-05,2010.59178082192,217,2010,8.4140609798873,7.71108333333333
2010-08-06,2010.59452054795,218,2010,8.67400659227975,7.59201666666667
2010-08-07,2010.59726027397,219,2010,8.08468406443155,7.37806666666667
2010-08-08,2010.6,220,2010,8.25103207070843,7.29123333333333
2010-08-09,2010.60273972603,221,2010,8.04276031533681,7.3809
2010-08-10,2010.60547945205,222,2010,8.62050497371504,7.51861666666667
2010-08-11,2010.60821917808,223,2010,8.36327989664806,7.68383333333333
2010-08-12,2010.61095890411,224,2010,8.28941001777735,7.35798333333333
2010-08-13,2010.61369863014,225,2010,8.33028113935822,7.65716666666667
2010-08-14,2010.61643835616,226,2010,8.16108103561961,7.47656666666667
2010-08-15,2010.61917808219,227,2010,8.2853128332224,7.33263333333333
2010-08-16,2010.62191780822,228,2010,8.03012024269145,7.29045
2010-08-17,2010.62465753425,229,2010,8.18103837278951,7.20116666666667
2010-08-18,2010.62739726027,230,2010,7.92509926246405,7.03886666666667
2010-08-19,2010.6301369863,231,2010,8.16741872149096,7.0525
2010-08-20,2010.63287671233,232,2010,7.76939699615802,6.92411666666667
2010-08-21,2010.63561643836,233,2010,7.91385261803995,6.96541666666667
2010-08-22,2010.63835616438,234,2010,8.18205288434099,7.2876
2010-08-23,2010.64109589041,235,2010,7.86038021569831,7.15461666666667
2010-08-24,2010.64383561644,236,2010,8.12762121422536,7.10355
2010-08-25,2010.64657534247,237,2010,7.70028795543984,6.98143333333333
2010-08-26,2010.64931506849,238,2010,8.22874800543016,6.9929
2010-08-27,2010.65205479452,239,2010,7.96969567340079,7.14956666666667
2010-08-28,2010.65479452055,240,2010,8.12786805472397,7.15466666666667
2010-08-29,2010.65753424658,241,2010,8.09477960755131,7.27096666666667
2010-08-30,2010.6602739726,242,2010,7.98324902368908,7.17798333333333
2010-08-31,2010.66301369863,243,2010,8.22120961162311,7.25606666666667
2010-09-01,2010.66575342466,244,2010,7.67813199577029,6.94753333333333
2010-09-03,2010.67123287671,246,2010,7.64024679231981,6.82486666666667
2010-09-04,2010.67397260274,247,2010,7.95288163655881,6.82121666666667
2010-09-05,2010.67671232877,248,2010,7.57096057938878,6.72715
2010-09-06,2010.67945205479,249,2010,7.61401550887535,6.82068333333333
2010-09-07,2010.68219178082,250,2010,7.54224146725476,6.44278333333333
2010-09-08,2010.68493150685,251,2010,7.41780231840047,6.40008333333333
2010-09-09,2010.68767123288,252,2010,7.71089423513717,6.69493333333333
2010-09-10,2010.6904109589,253,2010,7.3296281882063,6.60425
2010-09-11,2010.69315068493,254,2010,7.58223753020469,6.63281666666667
2010-09-12,2010.69589041096,255,2010,7.29303108471004,6.74538333333333
2010-09-13,2010.69863013699,256,2010,7.48286691853375,5.64386666666667
2010-09-14,2010.70136986301,257,2010,7.21485601911408,5.71413333333333
2010-09-15,2010.70410958904,258,2010,7.20600337833885,6.50355
2010-09-16,2010.70684931507,259,2010,7.32656550141267,6.29765833333333
2010-09-19,2010.71506849315,262,2010,7.10457281222913,6.39106666666667
2010-09-20,2010.71780821918,263,2010,7.35015192606099,6.12068333333333
2010-09-21,2010.72054794521,264,2010,6.91717179996922,5.85511666666667
2010-09-23,2010.72602739726,266,2010,6.89649238052833,5.78053333333333
2010-09-24,2010.72876712329,267,2010,6.24917752739771,5.40686666666667
2010-09-25,2010.73150684932,268,2010,6.45655304233621,5.02753333333333
2010-09-26,2010.73424657534,269,2010,6.53046763193314,5.6072
2010-09-27,2010.73698630137,270,2010,6.55877803962383,5.64228333333333
2010-09-28,2010.7397260274,271,2010,6.51733527597642,5.61883333333333
2010-09-29,2010.74246575342,272,2010,6.90871518215974,5.83801666666667
2010-09-30,2010.74520547945,273,2010,6.73441830970529,5.56708333333333
2010-10-01,2010.74794520548,274,2010,6.51770255516499,5.5967
2010-10-04,2010.75616438356,277,2010,6.29836024747165,5.35815
2010-10-05,2010.75890410959,278,2010,6.01703754019334,5.27006666666667
2010-10-06,2010.76164383562,279,2010,6.60695241979614,5.68533333333333
2010-10-07,2010.76438356164,280,2010,6.28285481069018,5.57443333333333
2010-10-08,2010.76712328767,281,2010,6.25870991761942,5.38476666666667
2010-10-10,2010.77260273973,283,2010,5.97527838608577,5.04833333333333
2010-10-11,2010.77534246575,284,2010,6.36409862523038,4.96631666666667
2010-10-12,2010.77808219178,285,2010,6.15447724669579,5.43248333333333
